0, 87 
1, 104 
2, 104 
3, 93 
4, 93 
5, 107 
6, 86 
7, 85 
8, 85 
9, 85 
10, 94 
11, 93 
12, 74 
13, 57 
14, 57 
15, 43 
16, 35 
17, 35 
18, 36 
19, 33 
20, 30 
21, 30 
22, 28 
23, 28 
24, 27 
25, 30 
26, 30 
27, 33 
28, 37 
29, 40 
30, 39 
31, 53 
32, 46 
33, 46 
34, 57 
35, 68 
36, 68 
37, 73 
38, 77 
39, 78 
40, 85 
41, 78 
42, 79 
43, 86 
44, 79 
45, 80 
46, 86 
47, 74 
48, 72 
49, 79 
50, 72 
51, 73 
52, 78 
53, 93 
54, 93 
55, 85 
56, 79 
57, 79 
58, 77 
59, 74 
60, 73 
61, 73 
62, 64 
63, 64 
64, 72 
65, 68 
66, 68 
67, 67 
68, 51 
69, 51 
70, 48 
71, 40 
72, 40 
73, 34 
74, 26 
75, 25 
76, 18 
77, 16 
78, 16 
79, 12 
80, 9 
81, 8 
82, 7 
83, 9 
84, 9 
85, 11 
86, 11 
87, 10 
88, 14 
89, 20 
90, 31 
91, 41 
92, 51 
93, 60 
94, 60 
95, 70 
96, 78 
97, 79 
98, 103 
99, 95 
100, 94 
101, 87 
102, 79 
103, 79 
104, 85 
105, 79 
106, 78 
107, 78 
108, 85 
109, 85 
110, 78 
111, 85 
112, 85 
113, 86 
114, 85 
115, 85 
116, 85 
117, 94 
118, 93 
119, 86 
120, 73 
121, 74 
122, 78 
123, 80 
124, 80 
125, 91 
126, 103 
127, 101 
128, 86 
129, 78 
130, 79 
131, 79 
132, 91 
133, 104 
134, 102 
135, 85 
136, 79 
137, 81 
138, 84 
139, 79 
140, 78 
141, 78 
142, 74 
143, 74 
144, 54 
145, 54 
146, 54 
147, 38 
148, 31 
149, 31 
150, 30 
151, 18 
152, 18 
153, 17 
154, 11 
155, 10 
156, 12 
157, 14 
158, 14 
159, 14 
160, 9 
